يمتلكوا قدرة وهم 
قاله رعاه الله 
قاله حفظه الله 
قارئين ونعوذ بالله 
قادة حلف أطلنطي 
قاد فريق مراجعة 
قائمين بتخريج طلابه 
فيمن عاش عيشة 
فواريق كثر فأذاقوا 
فنزل معها إل 
فما أعظم تلاوة 
فلم يلتفت إل 
فعجب وجاء إل 
فطرة فعجب وجاء 
فضائح جنسية تخيم 
فصارا فرجة ناظرين 
فشل عسكري أمريكي 
فشل حملة أمريكية 
فسيح وثاب كثير 
فساد وباعتراف جميع 
فريق مراجعة استراتيجية 
فريدة ولقد عض 
فرجة ناظرين ومحلا 
فرأيته قصرا منيفا 
فجاء إل امرأته 
فتاة واحدة محجبة 
فانظروا رعاكم الله 
فاضت أثناءه أعين 
فاروقها أول قول 
فاتح مصر زورا 
فإنا لله وإنا 
فأمرها حجاب فقالت 
فأذاقوا بلاد عباد 
غربية مصدر إسلام 
غربي حرب حيوية 
غالب آنذاك موضة 
عيشة رجال وعظم 
عيد قيامة مقاومة 
عوامل إيجابية إل 
عوامل أخر مساعدة 
عهد مكتبتها قديمة 
عهد بحرق كتب 
عمل فصارا فرجة 
عمرو بن عاص 
عليهم مثل عربي 
عليهم عدم إنصاف 
علم وقادة وكم 
علاقة طالبان حاضنة 
علاقة تستحق دراسة 
عقول وقلوب أفغان 
عظيم امرأة محجبة 
عظم هزيمة فاجعة 
عطرة مشرقة عصر 
عض صليبيون اليد 
عصر دولة عباسية 
عصر دولة أموية 
عصر خلفاء راشدبن 
عصر حديث قضايا 
عصر حديث فصدق 
عصر حديث دليل 
عسكرية نضالية لطالبان 
عسكرية معروفة وغير 
عسكريا رغم استخدام 
عسكري سياسي لطالبان 
عسكري إعلامي حركة 
عزيزة نكبات وأصلوها 
عربي مستجير بعمرو 
عربي رمتني بدائها 
عدم إنصاف تزوير 
عثمانيون حضارة إسلامية 
عبقرية عسكرية نضالية 
عبقرية تمتلك قدرا 
عبد ستير باسم 
عباسية أيوبيون مماليك 
عباد ويلات وجروا 
عالمين بميثاقه مجلين 
عاص رضي الله 
عاش عيشة رجال 
عادة أكثر ناس 
طويلة نسبيا استغرقت 
طويلا فاضت أثناءه 
طوال تاريخ إسلام 
طغاة دعاة شيطان 
طريق جوي إليها 
طريق إل ليبيا 
طرق وحققت مجتمعا 
طراز غريب جميل 
طالبان ردت بحملة 
طالبان حاضنة أقصد 
طالبان تحاول كسب 
طالبان تحالف غربي 
طالبان تحاكمت ال 
طالبان احترمت حاضنة 
طالبان احترام حاضنة 
طالبان أفغانية حركة 
طاغية حت جاءت 
ضعف راتب أوباما 
ضرورة تحذير مدنيين 
صوتيات مرئيات متحف 
صناعات وزراعات وعلوم 
صليبيين تتار إل 
صحيفة أمريكية مصر 
صحيح مواجهة وكيفية 
صحيح بخاري فوقع 
صحوات وضياع كثير 
صاحب قصة مشهورة 
شيطان والله امريكان 
شيخ حفظه الله 
شيخ بحديث طويل 
شيخ أحمد محلاوي 
شعب أفغاني علاقة 
شريعة علوم إسلامية 
شرف بمقدم سماحاتكم 
شرط أكبر حكومات 
شديدة ولم تتورط 
شاعر عربي مستجير 
شاطئ بحر وقايتباي 
شاء الله تعال 
شئون يرفع أقوامآ 
سيرة عطرة مشرقة 
سياسي مسئول سابق 
سياسي عسكري إعلامي 
سياسي حكومي نظافة 
سنين ووجدته يجيب 
سنة وكانوا يحلقون 
سلوكها سياسي حكومي 
سلمها أمريكان سلطة 
سلطة وتستخدم حرب 
سلطة اتسم سلوكها 
سلبية ولا يعترف 
سدة حكم أد 
سجل زوار استشارات 
سبيل إل حجاب 
سبب حلقهم لحاهم 
سابق أنور سادات 
زيارتي أخيرة إسكندرية 
زورا وبهتانا بحرقها 
زوج أستاذ داعية 
زوار استشارات منتد 
زمن هالك عبدالناصر 
زعيم ملا محمد 
زرت شيخ أحمد 
زرت اسكندرية مرارا 
زراعة وتجارة مخدرات 
زراعة أفيون مخدرات 
زاد طين بلة 
رياء حفظه الله 
رمضاء نار ولقد 
رمتني بدائها وانسلت 
رعاه الله تعال 
رشيدة إدارات ناجحة 
رسالتنا مشرف موقع 
ردت بحملة مضادة 
رجال وعظم الله 
راشدبن عصر دولة 
راتب مالكي يعادل 
راتب أوباما فضائح 
رئيسة مقالات مشرف 
رئيسة عصر حديث 
رئيسة رسالتنا مشرف 
رئيس مصر سابق 
رئيس أوباما حرب 
رئيس أمريكي باراك 
ذكر مصدر عدد 
ذكاء سياسي عسكري 
ذكاء إل التزام 
دولة عباسية أيوبيون 
دولة أموية عصر 
دول عربية تقريبا 
دمرت وأفسدت وأضلت 
دليل مكتبة تاريخية 
دكتور محمد موس 
دعم شعبي داخلي 
دعاة شيطان والله 
داخلها يقول بروس 
خلقه شئون يرفع 
خلفاء راشدبن عصر 
خداع ويصدق عليهم 
خبراء ناتو بأنها 
حيوية ويقول وحيد 
حملة لكسب عقول 
حملة طالبان اعتمدت 
حملة رئيس أوباما 
حملة أمريكية غربية 
حمد منة ولذلك 
حماية وذلك طوال 
حلقهم لحاهم ورغبهم 
حلف أطلنطي نجاح 
حكومي نظافة شديدة 
حكومة أفغانية وكذا 
حكومات رشيدة إدارات 
حكم طالبان وكذا 
حكم أد إل 
حققت نجاحا كبيرا 
حفظه الله وحدثني 
حفظه الله تعال 
حضارة إسلامية عصر 
حسنة وزرت مكتبة 
حركة واكتسابهم أسلوب 
حركة عسكريا رغم 
حركة عبقرية تمتلك 
حركة طالبان عندما 
حركة طالبان أفغانية 
حركة تحرير وطني 
حركات مقاومة عراقية 
حرب عصابات لأنها 
حرب حيوية ويقول 
حذو امرأته امرأة 
حذا حذو امرأته 
حديثا طويلا فاضت 
حديث قضايا معاصرة 
حديث شيخ حفظه 
حديث دليل مكتبة 
حدثني شيخ بحديث 
حجاب ناس سيستهزئون 
حجاب منتشرا وأت 
حجاب حت آن 
حت جاءت نكبة 
حت آن أوان 
حافلة ليركباها إل 
حاضنة وكيف أد 
حاضنة كتب كتب 
حاضنة صحيفة أمريكية 
حاضنة شرط كبير 
حاضنة أقصد شعب 
حاجة إل مؤكد 
جيوش أطلسية مواجهة 
جيش حكومة أفغانية 
جيش أمريكي جيوش 
جوي إليها مغلقا 
جوانبه فما أعظم 
جنوب وغرب أفغانستان 
جنات وعيون وزروع 
جميع فإنها قضت 
جماهير باعتبارها حركة 
جماعة أنصار سنة 
جليلة متينة أنشئت 
جرائم وكم فعلت 
جرائم قبائح وإنا 
جبهة إعلامية لاعترافهم 
جامعتها فلم يجد 
جاز ثمانين ببضع 
جاءت نكبة عظم 
ثورة مشؤومة ثورة 
ثورة الت أكلت 
ثمانين ببضع سنين 
ثغر عظيم امرأة 
تواجه جيش أمريكي 
تنفي وجود عوامل 
تمهد إسلام بعدها 
تمثل أهم مصادر 
تمتلك قدرا هائلا 
تلبيس والغش خداع 
تلاوة قول الله 
تكن محجبة فأمرها 
تغير قناعات فصار 
تغفل استخدام انترنت 
تعليق عبد ستير 
تعليق بسام قاروت 
تعليق ابوحفص مصر 
تعجيب لحال ناس 
تعال إنما سقت 
تزوير تلبيس والغش 
تراجم مقالات وأبحاث 
تحذير مدنيين مسبقا 
تحجز كتابا يؤيد 
تحجبت امرأته فكانت 
تحاول كسب شعبية 
تحالف غربي حرب 
تجارة مخدرات ولكنهم 
تجارة مخدرات وعل 
تتورط عناصرها وقياداتها 
تتقاسمهم فواريق كثر 
تتار إل حملة 
تاسع هجري وأوائل 
تاريخية عدد زيارات 
تاريخية تراجم مقالات 
تاريخطالبان احترام حاضنة 
تاريخ إسلام تقريبا 
بنيت لتجدد عهد 
بنيان قوم ضالين 
بنظافة حكم طالبان 
بنار هزائم متتاليات 
بن عاص رضي 
بميثاقه مجلين لقيادته 
بمقدم سماحاتكم ثغر 
بلاد عباد ويلات 
بلا خبرة أليس 
بقية قصة شيخ 
بقلم دكتور محمد 
بعملهما وسأورد قصتيهما 
بعدها موطن فسيح 
بعثة نبوية سيرة 
برادعي رئيسة مقالات 
برادعي رئيسة عصر 
بدون احترام حاضنة 
بدوره إل ذكاء 
بدائها وانسلت وزرت 
بدا كمفارقة مذهلة 
بدأت كحركة لطلبة 
بحملة مضادة اعترف 
بحرق كتب مكتبات 
بحديث طويل آخر 
ببضع سنين ووجدته 
باعتبارها حركة تحرير 
بائدة وبرئيسها طاغية 
بأن طالبان احترمت 
انتقلت إل أوروبا 
انتشار زراعة وتجارة 
انترنت وأشرطة فيديو 
امرأته ولم تكن 
امرأته امرأة أخر 
الله وحدثني حديثا 
الله تعال وحفظه 
الله تعال فوجدت 
الله تعال جهاده 
الله تعال إنما 
الله بنيان قوم 
الزي غالب آنذاك 
الت أكلت نفسها 
اعترف خبراء ناتو 
اشتراكية وضعف يقين 
اشتراكي فلم يعد 
اشتراكي زمن هالك 
اسكندرية مرارا فقدمتها 
استغرقت ثلث أخير 
استعدادا لمعركة طويلة 
استشارات منتد راسلنا 
استراتيجية رئيس أوباما 
استخدام انترنت وأشرطة 
اسال الله ان 
اردوا اذلال مسلمين 
ارادوا ان يقضوا 
اذلال مسلمين لان 
اختفاء وسط ناس 
احترمت حاضنة شعبية 
احترام حاضنة كتب 
احترام حاضنة صحيفة 
احترام حاضنة شرط 
اتهم مستشرقون عمرو 
اتصال شخصي قبائل 
اتصال حديثة وأنها 
اتسم سلوكها سياسي 
اتحاد اشتراكي فلم 
اتحاد اشتراكي زمن 
إيجابية إل أخر 
إنما سقت قراء 
إنصاف تزوير تلبيس 
إليها مغلقا بسبب 
إلا إعفاء فلم 
إل مكان عمل 
إل مؤكد لحديث 
إل كبار جماعة 
إل قولهم وأطلق 
إل فشل حملة 
إل ذكاء سياسي 
إل حملة فرنسية 
إل حجاب ناس 
إل حافلة ليركباها 
إل باكستان ووجود 
إل انتشار زراعة 
إل امرأته ولم 
إل التزام أخلاقي 
إل أوروبا وأمريكا 
إل أخر سلبية 
إقامة علاقة صحيحة 
إعلامية لاعترافهم بأن 
إعلامي حركة طالبان 
إعفاء فلم يلتفت 
إضعاف دور حماس 
إسلامية عصر حديث 
إسلام موئل وللمسلمين 
إسلام تقريبا فلله 
إسلام بعدها موطن 
إسكندرية منتزه فرأيته 
إسكندرية صحيفة أمريكية 
إسرائيلي مصر تحجز 
إدارة علاقة صحيحة 
إدارة رئيس أمريكي 
إدارات ناجحة أمر 
إحساس بنظافة حكم 
أيوبيون مماليك عثمانيون 
أولين ولم يرض 
أول قول شاعر 
أوباما فضائح جنسية 
أوان صحوة جليلة 
أنها كسبت حرب 
أنصار سنة وكانوا 
أموية عصر دولة 
أمريكية مصر تتلق 
أمريكية غربية مصدر 
أمريكي جيوش أطلسية 
أمريكي باراك أوباما 
أمريكان يثبت مد 
أمثل سلاطين مماليك 
أليق وبحاله ألصق 
أكلت نفسها بنفسها 
أكثر ناس آنذاك 
أكبر حكومات رشيدة 
أقوامآ ويخفض آخرين 
أقصد شعب أفغاني 
أفغانية وكذا منع 
أفغانية حركة عبقرية 
أفغاني علاقة تستحق 
أفغانستان وربما أد 
أفغانستان وامتداده إل 
أفغانستان تمثل أهم 
أفغان باعتبار غياب 
أفغان استعدادا لمعركة 
أعين وخشعت قلوب 
أعين أمريكان يثبت 
أعمدة اتحاد اشتراكي 
أعلنها زعيم ملا 
أعظم تلاوة قول 
أطلنطي نجاح عسكري 
أطلقت حملة لكسب 
أطلسية مواجهة مباشرة 
أسلوب صحيح مواجهة 
أستاذ داعية مشهور 
أسباب مدعاة غزو 
أسباب فشل عسكري 
أساليب عسكرية معروفة 
أسئلة مستفتين هاتف 
أذكر اسمه حفاظا 
أداء حركة عسكريا 
أد بدوره إل 
أد إل فشل 
أد إل انتشار 
أخر سلبية ولا 
أخبرني حفظه الله 
أحمد محلاوي حفظه 
أحرقوا مئات آلاف 
أحبار نصار ورهبانهم 
أثناءه أعين وخشعت 
آنذاك ولتقوية كلام 
آن أوان صحوة 
آمنا نظيفا ولعل 
آلاف موظف عراقي 
